İlk Harcamanızın Yarısı İade!
Emlak Katılım Mobil uygulaması üzerinden görüntülü görüşme ile müşteri olanlar, ilk harcamalarının yarısı kadar, toplamda 500 TL’ye varan nakit iade kazanıyor.
| Finansman Tahsis Ücreti | Ödenecek Toplam Tutar | Taksit Sayısı | Taksit Tutarı | Finansman Tutarı | Ekspertiz Ücreti | İpotek Tesis Bedeli | Toplam Masraf | Kâr Oranı % | 
|---|---|---|---|---|---|---|---|---|
| 5,75 TL | 2.890,88 TL | 48 | 60,22 TL | 1.000 TL | 0 TL | 0 TL | 5,75 TL | 4.29 | 
| Taksit No | Taksit Tutarı | Kalan Ana Para | Ana Para | Kâr Tutarı | KKDF | BSMV | 
|---|---|---|---|---|---|---|
| 1 | 60.22 TL | 995.56 TL | 4.44 TL | 42.900000000000006 TL | 6.44 TL | 6.44 TL | 
| 2 | 60.22 TL | 990.87 TL | 4.69 TL | 42.71 TL | 6.41 TL | 6.41 TL | 
| 3 | 60.22 TL | 985.92 TL | 4.95 TL | 42.51 TL | 6.38 TL | 6.38 TL | 
| 4 | 60.22 TL | 980.68 TL | 5.24 TL | 42.3 TL | 6.34 TL | 6.34 TL | 
| 5 | 60.22 TL | 975.15 TL | 5.53 TL | 42.07 TL | 6.31 TL | 6.31 TL | 
| 6 | 60.22 TL | 969.3 TL | 5.85 TL | 41.83 TL | 6.27 TL | 6.27 TL | 
| 7 | 60.22 TL | 963.14 TL | 6.16 TL | 41.58 TL | 6.24 TL | 6.24 TL | 
| 8 | 60.22 TL | 956.64 TL | 6.5 TL | 41.32 TL | 6.2 TL | 6.2 TL | 
| 9 | 60.22 TL | 949.78 TL | 6.86 TL | 41.04 TL | 6.16 TL | 6.16 TL | 
| 10 | 60.22 TL | 942.53 TL | 7.25 TL | 40.75 TL | 6.11 TL | 6.11 TL | 
| 11 | 60.22 TL | 934.86 TL | 7.67 TL | 40.43 TL | 6.06 TL | 6.06 TL | 
| 12 | 60.22 TL | 926.79 TL | 8.07 TL | 40.11 TL | 6.02 TL | 6.02 TL | 
